Configuration,CA — OA (%),CA — Kappa,CA — F1,AR — OA (%),AR — Kappa,AR — F1
S2 only,82.20,0.767,0.754,84.07,0.763,0.811
S2 climate,86.53,0.825,0.820,88.80,0.834,0.862
S2 soil,83.07,0.778,0.778,85.13,0.781,0.817
S2 topo,85.20,0.806,0.800,83.20,0.752,0.800
S2 all,86.07,0.819,0.811,89.20,0.843,0.864
